App Name,App Id,App Type,Permissions,Users,Type,Link,Total Users,Rating,Users Rated,Overview,Description,Developer,Mark Trusted?
Asana,1032199425885-oq9scukspijc682n7k2erv386nc58que.apps.googleusercontent.com,Web Application,Others,20,Meta,https://gsuite.google.com/u/2/marketplace/app/app/1032199425885,"3,174,496",4,108,Asana is the easiest way for teams to track their work and get results.,"Asana is the easiest way for teams to plan, manage, and track their work—so you know who’s doing what by when. It’s free and simple to get started, and powerful enough to run your entire business. Download now and see how Asana empowers teams to get great results. Learn more: www.asana.com

Plan and track your work with:
-Easy to set up projects and tasks
-Dashboards to track progress and goals
-List, board, and calendar views

The Asana for Gmail Add-On is now available! Turn tasks into emails, assign responsibility, set due dates, and connect emails to projects all without leaving your Gmail inbox.  Search Asana for Gmail in the marketplace to install.

Asana is recommended for G Suite and integrates across most G Suite tools. You'll be able to:
-Attach documents from Google Drive directly to your Asana tasks and projects
-Make conversations actionable by turning emails into tasks from within your Gmail inbox
-Ensure secure sign-on with your teams existing Google credentials through Single Sign On authentication
-Output Asana dashboard tracking into reports within Google Sheets
-Turn Google Forms information into trackable tasks in Asana",app.asana.com,No
TRC Enterprise Production Engineering,1032253577256-ji7utcu1m5jocc5kft1s4e2r1216ln06.apps.googleusercontent.com,Web Application,Calendar,2,,,,,,,,,Yes
Indiatoday,1034467138740-upqhri70dlfdloa7een22r96d84b9v24.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Recorded Macros (Untitled spreadsheet),1034831247363-3o4rjnj0pc3s5p6h851mn62htp69dhn3.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Luxury Escapes,1034926809216-n6rpg0vivi0aav775gs8cdndh17jkist.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Noisli,1035060964841-o6cg1vortrufggv7a777otmkrn8eqjs5.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Times Of India,103703403489-b4t4lt8mr05brqpcdrmsu0di54cmjv4f.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Untitled project,1052196649182-2v50sbfgdslb357pn65trrmh78q48r4p.apps.googleusercontent.com,Web Application,Gmail,1,,,,,,,,,Yes
Typing.io,1053160013860-87e4bvgv78elvs19u5eup3tupo1cmd4a.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
time,1059943037426-sfhrcee2917ra99moq8batbhuu4pmlvs.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Testing,1064305533524-1ee9e5q2o6p4cevvnbouh0ick8ufvmui.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
Untitled project,1064756101458-ef5ev2hpproqse91lmemc2kkjfig4f12.apps.googleusercontent.com,Web Application,Calendar,1,,,,,,,,,Yes
JIRA,1065897371335-h27ipppsl765bkjn8eifecn2hcjqpkqi.apps.googleusercontent.com,Android,Others,2,Meta,,,,,,,,No
BrowserStack,1066772918720-qoh6r25jl6mcn28aqoirn3gp7s1gucmk.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Wayfair,10668954132-ii0pv9vd2t4i2j3egv9bj249hf187v5j.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Udacity,1069728276824-7sem2lgr69vs4liabjj8corbps661iu4.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Promevo Sales Portal,1070256336893-te9lueoq74ugak3ig95tdvl37umqetml.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Tripadvisor,1070328450902.apps.googleusercontent.com,Web Application,Others,12,Meta,,,,,,,,No
Neighbor,1070544743919-ff6d0kl51otlh9u3qghrgmhaidh9v8q4.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
eBay,1077078376996-tiuoaddhjh4ch2h4dnokcu4uq3576n9g.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Realtor.com,1077613200872-2643uknuh1i8rfjgjd0jrkmm3frqqdo9.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Google Drive for Confluence & Jira,1080080380801-1s13bahdvlh579fstpjm8o168v1e4c3m.apps.googleusercontent.com,Web Application,Drive,25,,,,,,,,,Yes
Scott's Cheap Flights,108147266412-33njno1el2aaf0raqc4dhi2l196vjgt4.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Fetch_FinDataSQL,1082484789197-glso4ncgh5seeaoj4phs6h6sr99brt1o.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
Tableau,108315368982-fhk59oh0vmpj8vif1smea64flvfg4tv0.apps.googleusercontent.com,Web Application,Drive,7,,,,,,,,,Yes
Tableau,108315368982-mfe7b31cbom80toum943mgg250p8hsl4.apps.googleusercontent.com,Web Application,Drive,2,,,,,,,,,Yes
WordPress,108380595987-j91sm1alavcdgd81i2655kp8q1lbtvrc.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Hipmunk,108670380482-srf0he2fu64lrdjlbqeoqguha4qr268v.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
PnL,1088339617851-a948b1uc6bid2bc7lr55ehgmol9qbp2m.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Exif Meta Viewer for Drive,111863700124-074s5qoqq5p2mc2h50abftn5ktc7m1ln.apps.googleusercontent.com,Web Application,Drive,2,,https://gsuite.google.com/u/2/marketplace/app/app/111863700124,"20,679",4,455,"Exif Viewer is a tool that shows the Exif, Meta info of your pictures, docs. Extracts and displays the Exif, IPTC metadata.","Exif Viewer is a tool that shows the Exif, File Type Analysis, meta, file information of your pictures, ebooks, documents, archive, images, audio, and other formats.

Extracts and displays the Exif (Exchangeable Image File), IPTC-NAA/IIM (International Press Telecommunications Council / Newspaper Association of America), and IPTC Core (Adobe XMP, Extensible Metadata Platform) metadata, as stored by digital still cameras.
This app also can identify file types from the binary signatures.

Provides connect with Google Drive. You can open files from Google Drive, your computer, or from URL.

Supported formats:
png, jpg, jpeg, cr2, crw, dng, nef, raw, xmp, gif, tif, bmp...
doc, docx, ppt, pptx, xls, xlsx, epub, azw, pdf, odt, mobi, zip, rar, gz, swf, torrent.. 
pictures, ebooks, documents, archive, images, audio, and more.",exifviewer.herokuapp.com,Yes
Calendars 5,115462536866-ulmt0i7ik48sjee47lju68saffpg0kkg.apps.googleusercontent.com,iOS,Calendar,1,,,,,,,,,Yes
Events Calendar,115749518092-rufq0461dc4c1rjar0mb4eh84emoahgl.apps.googleusercontent.com,Web Application,Calendar,1,,,,,,,,,Yes
DocHub - PDF Sign & Edit,1179802238-202ueh12c57itr8t99rlpp8tem3s5bk8.apps.googleusercontent.com,Web Application,Drive,13,,https://gsuite.google.com/u/2/marketplace/app/app/1179802238,"4,494,044",4,10862,"Sign PDF or document files, create forms and edit PDFs online for free! Apply legally binding eSignatures, send (or receive) faxes, create reusable templates and more.","Sign, edit and share PDF and Word documents online:  DocHub - the way the world manages documents.

Editor Tools:
* Insert Text
* Draw (lossless, vector based)
* Highlight
* Comment
* Erase
* Sign
* Insert Image
* Stamp
* Undo/Redo

Page Management:
* Merge documents
* Reorder pages
* Append pages
* Rotate pages
* Delete pages

PDF Features:
* Retina display optimized
* Lossless editing (retains original document quality after signing or editing)
* Fill forms

Document Templates:
* Upload a template once then...  
   ...easily fill it out a unique copy of it as many times as you need.
   ...send copies of it to multiple people for signing or filling.

Document Sharing:
* Email documents
* Collaborate on a document with individuals or organizations
* Choose to make your document 'public' or 'private'
* Share 'public' documents on Facebook, Twitter or anywhere

Signing:
* Easily sign and save any document
* Create and import signature from phone
* Send documents to others to be signed

Security:
* OAuth 2.0 authentication ensures only you can access your account
* Data is transferred using state of the art 128 to 256 bit EV SSL Encryption
* Saved documents are stored and backed up using Advanced Encryption Standard (AES) 256-bit symmetric keys

Compatibility:
* Works with all PDFs, Open Office and Microsoft Office Documents:  (PDF, DOC, PPT, XLS, TXT, DOCX, PPTX and many more...)
* Export documents as either PDF or DOC

Open/Import Documents Directly From:
* Your computer
* Gmail
* Google Drive
* Dropbox
* Any webpage URL",Macroplant LLC,Yes
DocHub - PDF Sign & Edit,1179802238-balmr1e5m7sdgvoeu5lp28a5g6luvim5.apps.googleusercontent.com,Web Application,Drive,7,,https://gsuite.google.com/u/2/marketplace/app/app/1179802238,"4,494,044",4,10862,"Sign PDF or document files, create forms and edit PDFs online for free! Apply legally binding eSignatures, send (or receive) faxes, create reusable templates and more.","Sign, edit and share PDF and Word documents online:  DocHub - the way the world manages documents.

Editor Tools:
* Insert Text
* Draw (lossless, vector based)
* Highlight
* Comment
* Erase
* Sign
* Insert Image
* Stamp
* Undo/Redo

Page Management:
* Merge documents
* Reorder pages
* Append pages
* Rotate pages
* Delete pages

PDF Features:
* Retina display optimized
* Lossless editing (retains original document quality after signing or editing)
* Fill forms

Document Templates:
* Upload a template once then...  
   ...easily fill it out a unique copy of it as many times as you need.
   ...send copies of it to multiple people for signing or filling.

Document Sharing:
* Email documents
* Collaborate on a document with individuals or organizations
* Choose to make your document 'public' or 'private'
* Share 'public' documents on Facebook, Twitter or anywhere

Signing:
* Easily sign and save any document
* Create and import signature from phone
* Send documents to others to be signed

Security:
* OAuth 2.0 authentication ensures only you can access your account
* Data is transferred using state of the art 128 to 256 bit EV SSL Encryption
* Saved documents are stored and backed up using Advanced Encryption Standard (AES) 256-bit symmetric keys

Compatibility:
* Works with all PDFs, Open Office and Microsoft Office Documents:  (PDF, DOC, PPT, XLS, TXT, DOCX, PPTX and many more...)
* Export documents as either PDF or DOC

Open/Import Documents Directly From:
* Your computer
* Gmail
* Google Drive
* Dropbox
* Any webpage URL",Macroplant LLC,Yes
Google Gather,122167620338-cf846ucgscod617b2jahi6p30e4cn7im.apps.googleusercontent.com,Web Application,Others,7,Meta,,,,,,,,No
cloudHQ,125135905029.apps.googleusercontent.com,Web Application,"Gmail, Drive",3,,,,,,,,,Yes
PnL,128625660981-6b2e868pee5fnug9067al9gtmfu0i7ek.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
GrabTaxi,141255113973-1crlpnp1dfraninhjf6bul9c48gl6sa6.apps.googleusercontent.com,Android,Others,1,Meta,,,,,,,,No
GrabTaxi,141255113973-3bo26epvon2murd7ouh9l4ctipcg2m68.apps.googleusercontent.com,iOS,Others,1,Meta,,,,,,,,No
Glassdoor,141714232794-u9pltfkeb9skmomag53kf4dt3p4mgp1a.apps.googleusercontent.com,Web Application,Others,35,Meta,,,,,,,,No
GateRank Predictor,145591097846-7vt2q9hgp861hq7rh7tv0j4vmnd9rall.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
StreetEasy,147313643782-6g6eiu6pva3rofhad6e7csk4r701hbpf.apps.googleusercontent.com,Web Application,Others,3,Meta,,,,,,,,No
Logitech,154719634762-miuv2h5iatn6fqvk0sb2s6eqdkhbt8oh.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
jdbc,156540554200-909c85jcn1gmqi102s5haceu4r9mk8id.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
SonyLIV Web,159799352625-rg89d99kqb2qdabo99lv822gsie7jgr5.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
"O'Reilly Media, Inc.",169467428391-861p65v1smjhiu0uftrp99d1l2ks2o7e.apps.googleusercontent.com,Web Application,Others,4,Meta,,,,,,,,No
doc_template_creator,171587889764-4q48e2al2n0pu5cd443rpjg9cff9jdf2.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Logitech - LIdS,172892496965-51375kue6ntm5at0q7cjomt5gfsnocp4.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
flowkey,174289370194-eshqr9qiillf61qtcp9kgmj88aa18lj7.apps.googleusercontent.com,Android,Others,1,Meta,,,,,,,,No
CouponCabin,174526201421-69efgat1b312k7tmucj89f00l1b1ognm.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Ritual,177798635244-a09op77j7lb5ubt63j4hdonhh8cqu4ae.apps.googleusercontent.com,iOS,Others,1,Meta,,,,,,,,No
Slack,19570130570-tfuuvh6hutjd09bq64is5sao643q67jg.apps.googleusercontent.com,Web Application,"Drive, Calendar, Admin",539,,https://gsuite.google.com/u/2/marketplace/app/app/19570130570,"594,915",3,43,Slack is where work happens,"Whatever work means for you, Slack brings all the pieces and people you need together so you can actually get work done. 
 
It’s team communication for the 21st century

• Channels help organize team communication. You can make a channel for a project, a topic, a team, or anything – everyone has a transparent view of all that’s going on. For sensitive information, create private channel and invite select team members in.
• Direct Messages enable you to send messages directly to another person or to a small group of people for more focused conversations. 
• Calls take a conversation from typing to face-to-face by starting a Slack voice or video call in any channel or direct message.
 
You can drag, drop and share your files

• All of your files, images, PDFs, documents and spreadsheets can be dropped into Slack and shared with anyone you want. You can add comments, star for later reference and it’s all completely searchable. 
• The Google Drive integration makes sharing and collaborating on files even simpler. With it, you can create Google Docs from within Slack and import any type of file from G Drive without leaving your conversations in Slack. 
 
It connects all your tools in one place

• Set up integrations with the other tools you use so that you get all your notifications directly within Slack – from support requests, code check-ins and error logs to sales leads – all of them searchable in one central archive. Slack connects with over 1000 tools. 
 
You can search your entire archive

• Everything in Slack – messages, notifications, files, and all – is automatically indexed and archived so that you can have it at your fingertips whenever you want.",Slack,Yes
Measure Map,196280979389-c4db1oeianifikkms5eq5n4gggf96jcq.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Virtru,197076597243-pmtqlhc964j3do8sd0s5c7rq160e4smt.apps.googleusercontent.com,Web Application,Others,3,Meta,https://gsuite.google.com/u/2/marketplace/app/app/197076597243,"5,275,310",4,24,Easily Protect Data in G Suite and Maintain Control Wherever It’s Shared,"Surprisingly easy protection and control for Gmail and Google Drive.
Easily protect Gmail messages and attachments and files stored in Drive, and maintain control wherever they’re shared.

At Virtru, we understand that data is an organization’s most valuable asset and sharing it is critical for business success. But sharing data creates significant risk. We believe no one should have to choose between protecting data and sharing it. We help more than 5,000 organizations, large and small, across almost every industry, protect data wherever it’s created or shared so they can collaborate with confidence.

Privacy
Ensure Gmail messages and attachments and file stored in Google Drive stay private so you don’t have to trust Google with your data.

Compliance 
Maintain compliance with data privacy regulations such as HIPAA, GDPR, PCI, and CCPA.

Secure, Seamless Sharing
Protect messages and files and maintain control wherever they’re shared - both internally and externally, beyond Google.

End-to-End Encryption
Object-level, client-side encryption, seamlessly integrated into Gmail and Google Drive with a simple Chrome extension.

Persistent Access Controls
Access revocation, expiration, disable forwarding, and attachment watermarking give you persistent control, wherever your Gmail messages and Drive files are shared.

Persistent File Protection
Keep attachments protected and controlled anywhere files are shared and stored (i.e. Gmail, Google Drive, desktops, network drives, and more) to ensure compliance with data privacy regulations and privacy throughout the full collaboration lifecycle.

Contact us to learn more or try Virtru at your organization: https://www.virtru.com/contact-us/#contact-us

The Virtru G Suite Marketplace app is for paying customers only. By using this service, you acknowledge that your organization is a paying Virtru customer. For terms of service, please visit https://www.virtru.com/terms-of-service/. If you are interested in using Virtru at your organization and do not have an account, please contact sales at https://www.virtru.com/contact-us/.",Virtru Corporation,No
